tianxi,天喜,"喜庆星",misc,yearBranch,"年支天喜查表",false,"sanhe",false
zuofu,左辅,"辅星",lucky,month,"正月辰起顺行月系表",false,"sanhe，feixing，qintian，heluo",false
youbi,右弼,"弼星",lucky,month,"基线独立辰戌起算，customMirrorAuxRule可切换对宫",false,"sanhe，feixing，qintian，heluo",false
tianxing,天刑,"刑煞",misc,month,"月系全表tianXingMonthTable",false,"sanhe",false
tianyao,天姚,"桃花淫煞",misc,month,"月系全表tianYaoMonthTable",false,"sanhe",false
tianma,天马,"月驿马",misc,month,"三合月天马表tianMaMonthTable",false,"sanhe",false
yuede,月德,"月德吉星",misc,month,"月系全表",false,"sanhe",false
yuekong,月空,"月空亡",misc,month,"月系全表",false,"sanhe",false
yinsha,阴煞,"暗煞",misc,month,"月系全表",false,"sanhe",false
wenchang,文昌,"科甲文魁",lucky,hour,"基线戌起子时逆生时，自定义开关切换生日取星",true,"sanhe，feixing，qintian，heluo",false
wenqu,文曲,"才艺文星",lucky,hour,"基线辰起子时顺生时，自定义开关切换生日取星",true,"sanhe，feixing，qintian，heluo",false
huoxing,火星,"火煞",evil,hour+yearBranch,"12×12火星矩阵huoXingMatrix",false,"sanhe，feixing，qintian，heluo",false
lingxing,铃星,"金煞",evil,hour+yearBranch,"基线三合局独立起算，自定义开关取火星对宫",false,"sanhe，feixing，qintian，heluo",false
dijie,地劫,"劫耗煞",evil,fixed,"基线亥起时支逆排，自定义开关取地空对宫",false,"sanhe，feixing，qintian，heluo",false
dikong,地空,"空耗煞",evil,fixed,"基线亥起时支顺排，自定义开关取地劫对宫",false,"sanhe，feixing，qintian，heluo",false
boshi,博士,"智慧神",misc,fixed,"基线禄存起，阴阳男女分顺逆，自定义开关命宫起顺行",false,"sanhe",false
lishi,力士,"权势神",misc,fixed,"博士下一宫顺行",false,"sanhe",false
qinglong_boshi,青龙,"吉庆神",misc,fixed,"博士十二神固定序顺排",false,"sanhe",false
xiaohao_boshi,小耗,"小破财",misc,fixed,"博士十二神固定序顺排",false,"sanhe",false
jiangjun_boshi,将军,"武贵神",misc,fixed,"博士十二神固定序顺排",false,"sanhe",false
zoushu_boshi,奏书,"文书神",misc,fixed,"博士十二神固定序顺排",false,"sanhe",false
feilian_boshi,飞廉,"是非神",misc,fixed,"博士十二神固定序顺排",false,"sanhe",false
xishen_boshi,喜神,"喜事神",misc,fixed,"博士十二神固定序顺排",false,"sanhe",false
bingfu_boshi,病符,"灾病神",misc,fixed,"博士十二神固定序顺排",false,"sanhe",false
dahao_boshi,大耗,"大破财",misc,fixed,"博士十二神固定序顺排",false,"sanhe",false
fubing_boshi,伏兵,"隐忍神",misc,fixed,"博士十二神固定序顺排",false,"sanhe",false
guanfu_boshi,官符,"官非神",misc,fixed,"博士十二神固定序顺排",false,"sanhe",false
taisui,太岁,"流年值星",misc,yearBranch,"年支起太岁顺行",false,"sanhe",false
sangmen,丧门,"丧事神",misc,fixed,"岁前十二神固定序顺排",false,"sanhe",false
liuhe,六合,"人缘神",misc,fixed,"岁前十二神固定序顺排",false,"sanhe",false
guanfu_sui,官符,"官讼神",misc,fixed,"岁前十二神固定序顺排",false,"sanhe",false
xiaohao_sui,小耗,"小损神",misc,fixed,"岁前十二神固定序顺排",false,"sanhe",false
dahao_sui,大耗,"大破耗",misc,fixed,"岁前十二神固定序顺排",false,"sanhe",false
zhuque,朱雀,"口舌神",misc,fixed,"岁前十二神固定序顺排",false,"sanhe",false
baihu,白虎,"凶灾神",misc,fixed,"岁前十二神固定序顺排",false,"sanhe",false
guishen,贵神,"贵人神",misc,fixed,"岁前十二神固定序顺排",false,"sanhe",false
diaoke,吊客,"吊唁神",misc,fixed,"岁前十二神固定序顺排",false,"sanhe",false
bingfu_sui,病符,"灾病神",misc,fixed,"岁前十二神固定序顺排",false,"sanhe",false
qinglong_sui,青龙,"吉庆神",misc,fixed,"岁前十二神固定序顺排",false,"sanhe",false
jiangxing,将星,"武职星",misc,yearBranch,"流年地支起将星顺行",false,"sanhe",false
panan,攀鞍,"功名星",misc,fixed,"将前十二神古籍正统序",false,"sanhe",false
suiyi,岁驿,"驿马星",misc,fixed,"将前十二神古籍正统序",false,"sanhe",false
xishen_jiang,息神,"沉寂星",misc,fixed,"将前十二神古籍正统序",false,"sanhe",false
huagai,华盖,"玄学孤高",misc,fixed,"将前十二神古籍正统序",false,"sanhe",false
jiesha,劫煞,"凶劫星",misc,fixed,"将前十二神古籍正统序",false,"sanhe",false
zaisha,灾煞,"灾厄星",misc,fixed,"将前十二神古籍正统序",false,"sanhe",false
tiansha,天煞,"横祸星",misc,fixed,"将前十二神古籍正统序",false,"sanhe",false
zhibei,指背,"小人诽谤",misc,fixed,"将前十二神古籍正统序",false,"sanhe",false
xianchi,咸池,"情欲桃花",misc,fixed,"将前十二神古籍正统序",false,"sanhe",false
yuesha,月煞,"月中灾星",misc,fixed,"将前十二神古籍正统序",false,"sanhe",false
wangshe,亡神,"刑耗星",misc,fixed,"将前十二神古籍正统序",false,"sanhe",false
tiangu_tiangu,天官,"天官贵曜",misc,month,"农历月份查表",false,"sanhe",false
tianshou_tianshou,天寿,"长寿曜",misc,day,"农历生日查表",false,"sanhe",false
tianyin_tianyin,天印,"印星杂曜",misc,day,"农历生日查表",false,"sanhe",false
tianshang_tianshang,天伤,"损伤曜",misc,fixed,"子宫固定落宫",false,"sanhe",false
tianshi_tianshi,天使,"贵天使",misc,fixed,"午宫固定落宫",false,"sanhe",false
posui_posui,破碎,"破损曜",misc,yearBranch,"年支查表",false,"sanhe",false
tiancai_tiancai,天财,"偏财曜",misc,yearStem,"年干查表",false,"sanhe",false
tiangui_tiangui,天贵,"杂贵星",misc,month,"农历月份查表",false,"sanhe",false
tianfu_blessing,天福,"福德杂曜",misc,fixed,"固定地支落宫",false,"sanhe",false
tianyi_tianyi,天医,"医药曜",misc,yearBranch,"年支查表",false,"sanhe",false
luanjia_luanjia,銮驾,"贵曜",misc,fixed,"固定地支落宫",false,"sanhe",false
yutang_yutang,玉堂,"贵殿曜",misc,fixed,"固定地支落宫",false,"sanhe",false
zhuguan_zhuguan,珠冠,"贵饰曜",misc,fixed,"固定地支落宫",false,"sanhe",false
yinhua_yinhua,银花,"桃花贵曜",misc,fixed,"固定地支落宫",false,"sanhe",false
lingguan_lingguan,灵官,"解厄曜",misc,fixed,"固定地支落宫",false,"sanhe",false
hualu_hualu,花禄,"外缘禄曜",misc,fixed,"固定地支落宫",false,"sanhe",false
kuihua_kuihua,魁华,"科名曜",misc,fixed,"固定地支落宫",false,"sanhe",false
zhaocai_zhaocai,招财,"偏财曜",misc,fixed,"固定地支落宫",false,"sanhe",false
tianwu_tianwu,天巫,"玄学曜",misc,fixed,"固定地支落宫",false,"sanhe",false
jieshen_jieshen,解神,"解厄曜",misc,yearBranch,"年支查表",false,"sanhe",false
tiande_tiande,天德,"天德吉星",misc,fixed,"固定地支落宫",false,"sanhe",false
fuxing_fuxing,福星,"福气曜",misc,fixed,"固定地支落宫",false,"sanhe",false
longchi_longchi,龙池,"才艺曜",misc,fixed,"固定地支落宫",false,"sanhe",false
fengge_fengge,凤阁,"贵女曜",misc,fixed,"固定地支落宫",false,"sanhe",false
santai_santai,三台,"三台贵星",misc,fixed,"固定地支落宫",false,"sanhe",false
bazuo_bazuo,八座,"贵曜",misc,fixed,"固定地支落宫",false,"sanhe",false
taifu_taifu,台辅,"辅佐曜",misc,fixed,"固定地支落宫",false,"sanhe",false
fenggao_fenggao,封诰,"封官曜",misc,fixed,"固定地支落宫",false,"sanhe",false
tianxu_tianxu,天虚,"虚耗曜",misc,fixed,"固定地支落宫",false,"sanhe",false
tianku_tianku,天哭,"悲忧曜",misc,fixed,"固定地支落宫",false,"sanhe",false
longde_longde,龙德,"化解吉星",misc,fixed,"固定地支落宫",false,"sanhe",false
enguang_enguang,恩光,"贵人恩曜",misc,fixed,"固定地支落宫",false,"sanhe",false
tianyue_moon,天月,"疾病曜",misc,fixed,"固定地支落宫",false,"sanhe",false
tiankong_tiankong,天空,"空耗曜",misc,fixed,"固定地支落宫",false,"sanhe",false
